"speciesid","active","dead","pollinated","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","seedlings","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","season","run"
16,0,0,0,0,3,31,91,15,92.842159057036,-0.317489352612756,1.09819213696755,-8.20126901901928,0.00200986536219716,0.00476734529715031,1,29,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,6
17,0,0,0,0,43,7,109,1,108.667309996672,-0.406813685805537,1.95759826013818,1.67380845615265,-0.00129976645694114,0.0146678421273828,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
18,0,0,0,0,11,46,148,11,148.006957364269,-0.352485390985385,1.81986742513254,-6.54177590756092,-0.0047913049266208,-0.00423742692451924,1,38,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,6
19,0,0,0,0,32,31,148,5,148.722818722017,0.494282249850221,1.98068781173788,2.77834512876751,-0.000146099091507495,0.0247251370083541,0,29,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
20,0,0,0,0,4,12,140,3,141.625709594227,0.4372469259426,1.55235153762624,-0.947990978678978,-0.00046174138551578,0.0265847692941315,0,22,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
13,0,0,0,0,1,48,94,4,95.5744586046785,0.397807630780153,1.94885848695412,-10.2168243229482,0.00819324069889262,0.0136597577459179,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6
16,0,0,0,0,21,32,90,15,92.842159057036,-0.317489352612756,1.09819213696755,-8.20126901901928,0.00200986536219716,0.00476734529715031,1,29,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,6
9,0,0,0,0,14,34,103,7,104.454349949956,0.424317581229843,1.69576988206245,-7.09574784013232,0.00795793217141181,0.00651189606636763,0,32,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,6
5,0,0,0,0,16,26,119,6,110.197293763049,0.300365370023064,1.28646213747561,-3.26850621425599,0.00659227832686156,0.011859935997054,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,6
15,0,0,0,0,13,41,114,2,109.351749527268,0.419935256266035,1.33378764730878,-4.01453894248746,-0.00294134144787677,0.00399066685698926,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6
8,0,0,0,0,39,17,108,14,106.680037239566,-0.488997870823368,1.89139542775229,-10.5015421951963,0.00423997309640981,0.0204071324993856,1,31,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,6
2,0,0,0,0,26,12,100,2,101.703226799145,-0.345840840088204,1.16954566701315,-4.64801270562421,0.000653770023491233,0.0183829131396487,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6
4,0,0,0,0,16,18,111,4,118.007641816512,0.485400913562626,1.81886937003583,0.838027522128105,0.00663656441960484,0.0139478218951263,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6
10,0,0,0,0,4,38,124,7,128.062351830304,0.59180819587782,1.21528609469533,-4.91018552511985,0.00253953782143071,0.0145431618299335,0,33,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,6
6,0,0,0,0,29,33,138,3,137.879691864364,-0.513299357355572,1.41672656685114,-0.136729453518778,-0.00481159305432811,0.00098511313321069,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,6
19,0,0,0,0,12,49,147,5,148.722818722017,0.494282249850221,1.98068781173788,2.77834512876751,-0.000146099091507495,0.0247251370083541,0,29,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6
11,0,0,0,0,38,45,142,7,145.578113961965,0.563391802855767,1.41385767469183,-3.1329955711932,0.00532838589628227,-0.000837244840804488,1,26,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6
18,0,0,0,0,31,2,157,11,148.006957364269,-0.352485390985385,1.81986742513254,-6.54177590756092,-0.0047913049266208,-0.00423742692451924,1,38,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,6
1,0,0,0,0,47,47,131,3,127.81167535577,0.437148385634646,1.06957666273229,-13.8597035873175,0.00115575495408848,0.00389847092796117,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6
14,0,0,0,0,14,13,151,3,149.404269293882,0.512228161445819,1.08142320951447,1.84798142604562,0.00267779939924367,0.0171118286764249,0,32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6
3,0,0,0,0,44,2,124,1,123.475320632569,0.562166907079518,1.25101549248211,-4.95669721002925,-0.00406651302124374,0.0281331482320093,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6
12,0,0,0,0,41,13,143,1,136.419353988022,-0.422082851082087,1.49519334570505,-3.74340008031936,-0.00186127873486839,-0.00398029396543279,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6
17,0,0,0,0,21,2,117,1,108.667309996672,-0.406813685805537,1.95759826013818,1.67380845615265,-0.00129976645694114,0.0146678421273828,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6
20,0,0,0,0,26,29,138,3,141.625709594227,0.4372469259426,1.55235153762624,-0.947990978678978,-0.00046174138551578,0.0265847692941315,0,22,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
7,0,0,0,0,44,22,121,1,120.100181763992,-0.47193077900447,1.04592660744675,0.467090161447556,-0.00331128256279044,-0.00217605906305835,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6
13,0,0,0,0,50,46,83,4,95.5744586046785,0.397807630780153,1.94885848695412,-10.2168243229482,0.00819324069889262,0.0136597577459179,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,6
16,0,0,0,0,21,25,94,15,92.842159057036,-0.317489352612756,1.09819213696755,-8.20126901901928,0.00200986536219716,0.00476734529715031,1,29,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2,6
9,0,0,0,0,13,32,106,7,104.454349949956,0.424317581229843,1.69576988206245,-7.09574784013232,0.00795793217141181,0.00651189606636763,0,32,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,6
2,0,0,0,0,22,28,105,2,101.703226799145,-0.345840840088204,1.16954566701315,-4.64801270562421,0.000653770023491233,0.0183829131396487,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6
8,0,0,0,0,9,7,110,14,106.680037239566,-0.488997870823368,1.89139542775229,-10.5015421951963,0.00423997309640981,0.0204071324993856,1,31,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,6
5,0,0,0,0,24,39,106,6,110.197293763049,0.300365370023064,1.28646213747561,-3.26850621425599,0.00659227832686156,0.011859935997054,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,6
4,0,0,0,0,10,40,119,4,118.007641816512,0.485400913562626,1.81886937003583,0.838027522128105,0.00663656441960484,0.0139478218951263,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,6
10,0,0,0,0,48,29,131,7,128.062351830304,0.59180819587782,1.21528609469533,-4.91018552511985,0.00253953782143071,0.0145431618299335,0,33,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,6
6,0,0,0,0,25,36,138,3,137.879691864364,-0.513299357355572,1.41672656685114,-0.136729453518778,-0.00481159305432811,0.00098511313321069,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,6
11,0,0,0,0,30,43,146,7,145.578113961965,0.563391802855767,1.41385767469183,-3.1329955711932,0.00532838589628227,-0.000837244840804488,1,26,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,6
18,0,0,0,0,26,15,157,11,148.006957364269,-0.352485390985385,1.81986742513254,-6.54177590756092,-0.0047913049266208,-0.00423742692451924,1,38,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,2,6
19,0,0,0,0,11,37,152,5,148.722818722017,0.494282249850221,1.98068781173788,2.77834512876751,-0.000146099091507495,0.0247251370083541,0,29,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6
1,0,0,0,0,40,8,128,3,127.81167535577,0.437148385634646,1.06957666273229,-13.8597035873175,0.00115575495408848,0.00389847092796117,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,6
14,0,0,0,0,20,34,151,3,149.404269293882,0.512228161445819,1.08142320951447,1.84798142604562,0.00267779939924367,0.0171118286764249,0,32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6
3,0,0,0,0,45,32,123,1,123.475320632569,0.562166907079518,1.25101549248211,-4.95669721002925,-0.00406651302124374,0.0281331482320093,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6
17,0,0,0,0,46,36,108,1,108.667309996672,-0.406813685805537,1.95759826013818,1.67380845615265,-0.00129976645694114,0.0146678421273828,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6
7,0,0,0,0,49,36,125,1,120.100181763992,-0.47193077900447,1.04592660744675,0.467090161447556,-0.00331128256279044,-0.00217605906305835,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6
20,0,0,0,0,44,45,140,3,141.625709594227,0.4372469259426,1.55235153762624,-0.947990978678978,-0.00046174138551578,0.0265847692941315,0,22,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
16,0,0,0,0,1,29,93,15,92.842159057036,-0.317489352612756,1.09819213696755,-8.20126901901928,0.00200986536219716,0.00476734529715031,1,29,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,3,6
13,0,0,0,0,22,6,93,4,95.5744586046785,0.397807630780153,1.94885848695412,-10.2168243229482,0.00819324069889262,0.0136597577459179,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,6
9,0,0,0,0,15,26,105,7,104.454349949956,0.424317581229843,1.69576988206245,-7.09574784013232,0.00795793217141181,0.00651189606636763,0,32,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,6
8,0,0,0,0,8,42,112,14,106.680037239566,-0.488997870823368,1.89139542775229,-10.5015421951963,0.00423997309640981,0.0204071324993856,1,31,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,3,6
5,0,0,0,0,11,49,103,6,110.197293763049,0.300365370023064,1.28646213747561,-3.26850621425599,0.00659227832686156,0.011859935997054,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,3,6
2,0,0,0,0,28,19,105,2,101.703226799145,-0.345840840088204,1.16954566701315,-4.64801270562421,0.000653770023491233,0.0183829131396487,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6
4,0,0,0,0,44,23,120,4,118.007641816512,0.485400913562626,1.81886937003583,0.838027522128105,0.00663656441960484,0.0139478218951263,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,6
6,0,0,0,0,45,29,142,3,137.879691864364,-0.513299357355572,1.41672656685114,-0.136729453518778,-0.00481159305432811,0.00098511313321069,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,6
18,0,0,0,0,32,11,148,11,148.006957364269,-0.352485390985385,1.81986742513254,-6.54177590756092,-0.0047913049266208,-0.00423742692451924,1,38,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,3,6
11,0,0,0,0,7,13,147,7,145.578113961965,0.563391802855767,1.41385767469183,-3.1329955711932,0.00532838589628227,-0.000837244840804488,1,26,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,6
19,0,0,0,0,2,2,136,5,148.722818722017,0.494282249850221,1.98068781173788,2.77834512876751,-0.000146099091507495,0.0247251370083541,0,29,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,6
1,0,0,0,0,29,16,124,3,127.81167535577,0.437148385634646,1.06957666273229,-13.8597035873175,0.00115575495408848,0.00389847092796117,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,6
10,0,0,0,0,47,4,126,7,128.062351830304,0.59180819587782,1.21528609469533,-4.91018552511985,0.00253953782143071,0.0145431618299335,0,33,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,6
3,0,0,0,0,10,11,128,1,123.475320632569,0.562166907079518,1.25101549248211,-4.95669721002925,-0.00406651302124374,0.0281331482320093,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,6
20,0,0,0,0,34,20,140,3,141.625709594227,0.4372469259426,1.55235153762624,-0.947990978678978,-0.00046174138551578,0.0265847692941315,0,22,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
14,0,0,0,0,7,35,145,3,149.404269293882,0.512228161445819,1.08142320951447,1.84798142604562,0.00267779939924367,0.0171118286764249,0,32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6
16,0,0,0,0,5,49,89,15,92.842159057036,-0.317489352612756,1.09819213696755,-8.20126901901928,0.00200986536219716,0.00476734529715031,1,29,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,4,6
13,0,0,0,0,38,8,96,4,95.5744586046785,0.397807630780153,1.94885848695412,-10.2168243229482,0.00819324069889262,0.0136597577459179,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,6
9,0,0,0,0,40,45,87,7,104.454349949956,0.424317581229843,1.69576988206245,-7.09574784013232,0.00795793217141181,0.00651189606636763,0,32,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,6
5,0,0,0,0,15,30,106,6,110.197293763049,0.300365370023064,1.28646213747561,-3.26850621425599,0.00659227832686156,0.011859935997054,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,4,6
